model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.1,SOURCE_TEST,0.9149691939810894,0.9071785615106914,1.3736114968064426,1.0,0.05286725909469592,0.6685122188281033,0.14825742849208554,0.11293737850597056,0.017356289919466816,6.942515967786726e-05,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,0.1,COMPLETE_TARGET,0.9149691939810894,0.8429998208527409,1.742610175564314,2.0,0.020243640272303833,0.4539367610175564,0.3111228054460767,0.19235936940164816,0.022337423862414905,0.0,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,0.1,COMPLETE_TARGET,0.9149691939810894,0.8689761734145468,2.030040756001433,2.0,0.009203690433536367,0.3137876209243999,0.34828466499462557,0.29535784664994624,0.033220619849516304,0.00014555714797563597,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,0.1,COMPLETE_TARGET,0.9149691939810894,0.7630329630956646,1.9015025976352562,2.0,0.015182730204227876,0.3861183267646005,0.32706691150125405,0.22547921891795056,0.04595127194553923,0.00020154066642780365,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.05,SOURCE_TEST,0.961455287023525,0.9553249097472925,1.3011316301027491,1.0,0.02785684532074424,0.7473792002221605,0.13591710635934462,0.0735906692585393,0.015134684809775062,0.0001214940294362677,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.05,SOURCE_TEST,0.961455287023525,0.9564530685920578,1.4160302693696196,1.0,0.025965009719522356,0.7075985837267426,0.12501735628991947,0.10800819216884198,0.03268189391835601,0.0007289641766176062,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,0.05,SOURCE_TEST,0.961455287023525,0.9550992779783394,1.6011698139405721,1.0,0.023795473479589,0.6337822826992502,0.13036309358511525,0.1424777839489031,0.06867883921133018,0.0009025270758122744,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,0.05,COMPLETE_TARGET,0.961455287023525,0.9034844141884629,2.0953847187388033,2.0,0.005900662844858474,0.3327884270870656,0.315366356144751,0.252608831959871,0.09264152633464708,0.0006941956288068793,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,0.05,COMPLETE_TARGET,0.961455287023525,0.9231346291651737,2.4632636151916874,3.0,0.0016459154424937298,0.1824278932282336,0.3030835721963454,0.3794338946614117,0.1306767287710498,0.0027319957004657827,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,0.05,COMPLETE_TARGET,0.961455287023525,0.8446569329989251,2.363232264421354,2.0,0.004333124328197779,0.24671936581870296,0.3117050340379792,0.2644549444643497,0.1641996596202078,0.008587871730562522,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.1,SOURCE_TEST,0.905291128359987,0.9065363787836712,1.2010899750069426,1.0,0.06560677589558456,0.7339454318244932,0.13694112746459317,0.06076437100805332,0.002742293807275757,0.0,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.1,SOURCE_TEST,0.905291128359987,0.9073347681199667,1.2943626770341572,1.0,0.060347820049986116,0.696126076089975,0.13897181338517078,0.0979589003054707,0.006560677589558456,3.471257983893363e-05,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.1,SOURCE_TEST,0.905291128359987,0.9089315467925576,1.4427242432657594,1.0,0.054897945015273536,0.622917245209664,0.16630797000833103,0.13633365731741184,0.019525826159400166,1.7356289919466816e-05,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,0.1,COMPLETE_TARGET,0.905291128359987,0.8288583840917234,1.8245924399856681,2.0,0.01952705123611609,0.395971426012182,0.3427087065567897,0.2240236474381942,0.017713185238265854,5.598351845216768e-05,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.1,COMPLETE_TARGET,0.905291128359987,0.7979218917950556,2.020064493013257,2.0,0.010502508061626658,0.2974404335363669,0.37575017914725906,0.29428296309566465,0.02184476890003583,0.00017914725904693657,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.1,COMPLETE_TARGET,0.905291128359987,0.829339842350412,2.054281619491222,2.0,0.011610981726979577,0.286803565030455,0.3795010748835543,0.28001836259405233,0.04190926191329273,0.00015675385166606952,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,0.05,SOURCE_TEST,0.9546581753371367,0.9532942238267148,1.3532004998611498,1.0,0.03035615106914746,0.7199736184393224,0.1316301027492363,0.10236739794501527,0.015499166898083866,0.00017356289919466815,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.05,SOURCE_TEST,0.9546581753371367,0.9544744515412386,1.4848826714801444,1.0,0.027214662593723966,0.6731289919466815,0.12321230213829491,0.14088100527631214,0.035129130797000835,0.00043390724798667035,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.05,SOURCE_TEST,0.9546581753371367,0.9551166342682588,1.6846188558733686,1.0,0.02539225215217995,0.602766592613163,0.1128679533462927,0.18031449597334073,0.07812066092752014,0.0005380449875034712,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,0.05,COMPLETE_TARGET,0.9546581753371367,0.8932730204227876,2.187578376925833,2.0,0.006102203511286278,0.28183222859190254,0.31142511644571835,0.32036008599068433,0.07958616983160158,0.0006941956288068793,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.05,COMPLETE_TARGET,0.9546581753371367,0.8675317986384808,2.4516078466499462,3.0,0.0024072912934432105,0.17820673593694017,0.289591544249373,0.4269862952346829,0.10078152991759226,0.00202660336796847,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.05,COMPLETE_TARGET,0.9546581753371367,0.8996775349337155,2.576417502687209,3.0,0.003885256180580437,0.17256359727696166,0.2656977785739878,0.3640944106055177,0.18861967036904334,0.005139286993908993,89312,99
B0,D2_ISRUC_TO_SLEEPEDF,17,C0,0.1,SOURCE_TEST,0.9350399483797552,0.9039069972776101,1.6438819807225369,2.0,0.014568464424987123,0.4572143330144949,0.40409094253550143,0.118019277463027,0.006106982561989552,0.0,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,17,C1,0.1,SOURCE_TEST,0.9350399483797552,0.9252446471929954,2.095210065484512,2.0,0.00595982635567655,0.26635273342653226,0.3910676182768008,0.29990434846589653,0.03656831726878081,0.00014715620631300125,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,17,C2,0.1,SOURCE_TEST,0.9350399483797552,0.880509160473843,2.7504966521963063,3.0,0.0028695460231035245,0.14450739459936723,0.1869619601206681,0.4328599808696932,0.23052019718931646,0.0022809211978515194,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,17,C3,0.1,COMPLETE_TARGET,0.9350399483797552,0.8176623827299433,1.5355563534886412,1.0,0.027718267499837333,0.5708247281069787,0.2587978147343967,0.12375620841476669,0.01864753555153376,0.0002554456924867638,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,17,C4,0.1,COMPLETE_TARGET,0.9350399483797552,0.805654025318042,2.176426218367509,2.0,0.007424794137280371,0.2674516400336417,0.3255510758842397,0.3413573805731141,0.05727526201257468,0.000939847359149414,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,17,C5,0.1,COMPLETE_TARGET,0.9350399483797552,0.7942312651068414,2.331869741975752,2.0,0.006195762975315752,0.2752620125746757,0.2963121835545991,0.232460399893002,0.18224604239916523,0.0075235986032422325,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,17,C0,0.05,SOURCE_TEST,0.9721573654640037,0.9505555146788316,1.9623280111838717,2.0,0.004856154808329041,0.3387535869325289,0.38496063571481126,0.23309543079979397,0.03730409830034582,0.0010300934441910088,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,17,C1,0.05,SOURCE_TEST,0.9721573654640037,0.9662276506511662,2.5456552130086085,3.0,0.0016187182694430138,0.17084835552939445,0.2750349495989993,0.3913619306894268,0.15502906335074682,0.006106982561989552,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,17,C2,0.05,SOURCE_TEST,0.9721573654640037,0.9435655948789641,3.2896034140239863,4.0,0.00036789051578250314,0.0818924288131852,0.13494224118902215,0.24192480317857407,0.4923110882201457,0.04856154808329041,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,17,C3,0.05,COMPLETE_TARGET,0.9721573654640037,0.8740074368434624,1.8324469046488707,2.0,0.009747904019895845,0.48067167757933876,0.25256108405368216,0.18547526153060168,0.06749308971204523,0.004050983104436321,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,17,C4,0.05,COMPLETE_TARGET,0.9721573654640037,0.8713662247777502,2.6689447924021774,3.0,0.0016676265962343448,0.1592005031798169,0.24366627225209117,0.37285672629476024,0.2092027925515892,0.01340607912550818,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,17,C5,0.05,COMPLETE_TARGET,0.9721573654640037,0.8808707324302766,2.7979545065680873,3.0,0.00133747508802032,0.1648154886844788,0.3004595612599738,0.16177905875491913,0.3111593619641364,0.060449054248471544,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,42,C0,0.1,SOURCE_TEST,0.9404154359198005,0.9067765433007137,1.70311235376352,2.0,0.014789198734456626,0.4325656684570672,0.39739533514825987,0.14524317563093223,0.010006622029284085,0.0,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,42,C1,0.1,SOURCE_TEST,0.9404154359198005,0.9189169303215363,2.109999264218968,2.0,0.00706349790302406,0.2524464719299536,0.40247222426605844,0.2994628798469575,0.03855492605400633,0.0,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,42,C2,0.1,SOURCE_TEST,0.9404154359198005,0.9130306820690163,2.9794717092193364,3.0,0.00235449930100802,0.10985210801265544,0.14406592598042822,0.4029136928849974,0.3313221985137223,0.00949157530718858,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,42,C3,0.1,COMPLETE_TARGET,0.9404154359198005,0.8054178585457429,1.6111345403543949,1.0,0.022606943785078597,0.5348864110121192,0.2759415945112914,0.14219167584423598,0.02407696144938922,0.00029641339788558443,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,42,C4,0.1,COMPLETE_TARGET,0.9404154359198005,0.7399659245085682,2.194345974681958,2.0,0.005287243861471319,0.25026448268632473,0.3523078072397165,0.3297635199452479,0.06170941365574114,0.00066753261149843,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,42,C5,0.1,COMPLETE_TARGET,0.9404154359198005,0.8425008615267459,2.430404303054986,2.0,0.0035641903696973934,0.2285226804446683,0.33324818476917106,0.2170830511783035,0.20377336665373372,0.013808526584426006,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,42,C0,0.05,SOURCE_TEST,0.9757422098583807,0.9507026708851446,2.0362740048561547,2.0,0.00478257670517254,0.30873372084467665,0.3791479655654477,0.26127584430873374,0.04488264292546538,0.00117724965050401,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,42,C1,0.05,SOURCE_TEST,0.9757422098583807,0.9615186520491502,2.574129938930174,3.0,0.0022809211978515194,0.1544404385254948,0.28769038334191743,0.3834890736516813,0.16665440364947393,0.005444779633581046,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,42,C2,0.05,SOURCE_TEST,0.9757422098583807,0.9638731513501582,3.499301008020013,4.0,0.0005150467220955044,0.05996615407254801,0.10374512545066589,0.2001324405856817,0.5467588845559561,0.08888234861305276,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,42,C3,0.05,COMPLETE_TARGET,0.9757422098583807,0.8625919062273322,1.9419776798301527,2.0,0.007263333180708548,0.4329563501148301,0.26602499993975337,0.2035155110962235,0.08477423179527714,0.005465573873207362,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,42,C4,0.05,COMPLETE_TARGET,0.9757422098583807,0.8127125199717564,2.6815387470147796,3.0,0.001130226696002757,0.1380105600285328,0.2786912505030593,0.35520446499791547,0.2142851978860664,0.012678299888423249,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,42,C5,0.05,COMPLETE_TARGET,0.9757422098583807,0.9246868982868269,2.877468003017151,3.0,0.0005783676056304087,0.11755803557442748,0.3464518352327086,0.15181908661295881,0.3064143377329436,0.07717833724133111,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.1,SOURCE_TEST,0.8982233774689425,0.8913251416378486,1.7287175336619822,2.0,0.02457508645427121,0.4253550143477301,0.36053270546685307,0.1758516665440365,0.013685527187109116,0.0,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.1,SOURCE_TEST,0.8982233774689425,0.884923846663233,2.0253844455889927,2.0,0.015009933043926128,0.3044661908615996,0.3513354425722905,0.29850636450592305,0.03068206901626076,0.0,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.1,SOURCE_TEST,0.8982233774689425,0.9322345669928629,3.199249503347804,3.0,0.00014715620631300125,0.05643440512103598,0.19093517769111912,0.26142300051504674,0.47862556103303655,0.012434699433448606,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,2026,C3,0.1,COMPLETE_TARGET,0.8982233774689425,0.7737329532172903,1.665604719479662,1.0,0.030757107294420438,0.4924583274090818,0.28316877971664806,0.16769527738751352,0.025879540486937327,4.096770539882061e-05,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.1,COMPLETE_TARGET,0.8982233774689425,0.6498731206065148,2.09217974701237,2.0,0.012314410269880784,0.2788671706497719,0.3543055853441649,0.31342222522116536,0.04101831256431327,7.229595070380108e-05,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.1,COMPLETE_TARGET,0.8982233774689425,0.8840710331814315,2.5363347398912186,2.0,0.0008289935680702524,0.18200505589681923,0.3661066943640487,0.19013353062094993,0.2529129243471073,0.00801280120300462,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.05,SOURCE_TEST,0.9466702473770523,0.940181002133765,2.0650430431903466,2.0,0.010006622029284085,0.3272754028401148,0.32227209182547273,0.2697373261717313,0.06953130748289309,0.00117724965050401,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.05,SOURCE_TEST,0.9466702473770523,0.934883378706497,2.4162313295563242,3.0,0.004635420498859539,0.22875432271356044,0.2598042822456037,0.3611213302921051,0.14391876977411522,0.001765874475756015,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.05,SOURCE_TEST,0.9466702473770523,0.9697593996026782,3.721654035758958,4.0,0.0,0.013170480465013613,0.12015304245456553,0.17997204032080052,0.5052608343756898,0.18144360238393054,13591,15
B0,D2_ISRUC_TO_SLEEPEDF,2026,C3,0.05,COMPLETE_TARGET,0.9466702473770523,0.8361725559751398,2.0040196548591314,2.0,0.012338508920115385,0.396208318372088,0.2702012960254096,0.22042071423579565,0.09800921050411966,0.0028219519424717023,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.05,COMPLETE_TARGET,0.9466702473770523,0.7296758008583939,2.5145881179195153,3.0,0.00397868715373252,0.19790534532160853,0.2629620614949357,0.35442848846036135,0.17615390361985825,0.0045715139495036885,414961,78
B0,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.05,COMPLETE_TARGET,0.9466702473770523,0.9495109178934887,2.992179987998872,3.0,2.1688785211140323e-05,0.07201881622610318,0.35983140584295875,0.1592197821000046,0.321702521441774,0.08720578560394833,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,0.1,SOURCE_TEST,0.9167302734485488,0.9011846074608196,1.6739018468103892,2.0,0.020528290780663674,0.4406592598042822,0.3914355087925833,0.13920977117209918,0.008093591347215068,7.357810315650063e-05,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,0.1,SOURCE_TEST,0.9167302734485488,0.9066293870944007,1.944448532116842,2.0,0.01545140166286513,0.3290412773158708,0.3765727319549702,0.25377087778677065,0.02486939886689721,0.0002943124126260025,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,0.1,SOURCE_TEST,0.9167302734485488,0.9028033257302627,2.2774630270031637,2.0,0.005518357736737547,0.19145022441321463,0.38231182400117725,0.3619306894268266,0.058347435803104995,0.00044146861893900376,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,0.1,COMPLETE_TARGET,0.9167302734485488,0.8023260017206436,1.6147493378895847,1.0,0.02895211839184887,0.5234034041753322,0.27922142080822054,0.14117230293931238,0.02686758514655594,0.0003831685387301457,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,0.1,COMPLETE_TARGET,0.9167302734485488,0.8173322312217293,2.030475153086676,2.0,0.01724981383792694,0.38148404307874717,0.25297558083771726,0.25226708052082003,0.09387870185390916,0.0021447798708794322,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,0.1,COMPLETE_TARGET,0.9167302734485488,0.7267261260696788,2.2165552907381656,2.0,0.005757167541046026,0.2507247669058056,0.3661042844990252,0.2776766973281827,0.09809355577994076,0.0016435279459997446,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,0.05,SOURCE_TEST,0.9633710082308694,0.9492311088220146,2.0272974762710616,2.0,0.006695607387241557,0.3141049223751012,0.36928849974247663,0.26627915532337576,0.04238098741814436,0.0012508277536605107,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,0.05,SOURCE_TEST,0.9633710082308694,0.9587962622323597,2.376499153851814,2.0,0.004635420498859539,0.23015230667353395,0.27312191891693033,0.3742918107571187,0.11176513869472444,0.0060334044588330514,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,0.05,SOURCE_TEST,0.9633710082308694,0.9523213891545876,2.808181885071003,3.0,0.00117724965050401,0.11279523213891546,0.21999852843793688,0.4203517033330881,0.2340519461408285,0.011625340298727098,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,0.05,COMPLETE_TARGET,0.9633710082308694,0.8655319415559535,1.9783112147888597,2.0,0.009810560510505807,0.41351114924053106,0.2747559409197491,0.19979708936502466,0.09472938420719056,0.00739587575699885,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,0.05,COMPLETE_TARGET,0.9633710082308694,0.8828227230992792,2.547316494803126,3.0,0.00463899017016057,0.2608510197343847,0.21529975106094307,0.2576242104679717,0.22493680128975976,0.03664922727678023,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,0.05,COMPLETE_TARGET,0.9633710082308694,0.8269596419904521,2.7381585257409733,3.0,0.001065160340369336,0.13130390566824351,0.3176900961777131,0.258029067791913,0.2621716257672408,0.029740144254520304,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,42,C0,0.1,SOURCE_TEST,0.9373749250706547,0.9149437127510853,1.716797880950629,2.0,0.012802589949231108,0.41880656316680154,0.414023986461629,0.14767125303509676,0.006548451180928555,0.00014715620631300125,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,42,C1,0.1,SOURCE_TEST,0.9373749250706547,0.9264218968434994,2.0648223088808773,2.0,0.006254138768302553,0.2726068721948348,0.40556250459863147,0.2823927599146494,0.03200647487307777,0.00117724965050401,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,42,C2,0.1,SOURCE_TEST,0.9373749250706547,0.930910161136046,2.2949010374512544,2.0,0.004635420498859539,0.21528952983592084,0.3264660437053933,0.3881244941505408,0.06511662129350305,0.00036789051578250314,13591,15
B1,D2_ISRUC_TO_SLEEPEDF,42,C3,0.1,COMPLETE_TARGET,0.9373749250706547,0.829950284484566,1.6093440106419639,1.0,0.022734666631321978,0.5344695043630606,0.2780116685664436,0.14064454249917463,0.023780548051503637,0.00035906988849554537,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,42,C4,0.1,COMPLETE_TARGET,0.9373749250706547,0.8334710972838412,2.068093146102887,2.0,0.011015493022235824,0.3528765353852531,0.28160959704646943,0.2691433652801107,0.08220772554529221,0.003147283720638807,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,42,C5,0.1,COMPLETE_TARGET,0.9373749250706547,0.7949228963685744,2.2777248946286517,2.0,0.004969141678374594,0.24088046828497137,0.34780135964584624,0.28694262834338646,0.11661818821527806,0.0027882138321432617,414961,78
B1,D2_ISRUC_TO_SLEEPEDF,42,C0,0.05,SOURCE_TEST,0.9730781472177126,0.9597527775733942,2.042601721727614,2.0,0.0038996394672945332,0.2954896622765065,0.3915090868957398,0.2730483408137738,0.0353174895151203,0.0007357810315650063,13591,15
