model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count,primary_cell
B0,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.05,COMPLETE_TARGET,0.9588027100077723,0.8899140093156575,2.471739519885346,3.0,0.0020713901827302044,0.1703690433536367,0.29975815120028665,0.4117587782156933,0.11363534575420996,0.0024072912934432105,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B0,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.05,COMPLETE_TARGET,0.9588027100077723,0.8407156932998925,3.049556610533859,3.0,0.0010972769616624865,0.06199614833393049,0.14715827660336797,0.48856816553206733,0.27836125044786814,0.022818882121103546,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,0.1,COMPLETE_TARGET,0.9205145544172537,0.837938910784665,1.8738915263346472,2.0,0.00990908276603368,0.353771049802938,0.40574614833393047,0.2137786635614475,0.01668308849874597,0.00011196703690433536,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,0.1,COMPLETE_TARGET,0.9205145544172537,0.7613758509494805,1.9373656395557148,2.0,0.014779648871372267,0.36028753135077035,0.3464596022930849,0.23058491580078824,0.04703735220351129,0.0008509494804729488,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,0.05,COMPLETE_TARGET,0.9653750926928348,0.9082878000716589,2.3132165890361875,2.0,0.0018026692941597994,0.19509136510211394,0.3693232712289502,0.35709647079899676,0.07524184879971337,0.0014443747760659262,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,0.05,COMPLETE_TARGET,0.9653750926928348,0.8383979756359727,2.3891862235757793,2.0,0.004568255105696883,0.24226307774991043,0.28738579362235755,0.30402409530634183,0.14871461841633823,0.01304415979935507,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,0.1,COMPLETE_TARGET,0.9149691939810894,0.8689761734145468,2.030040756001433,2.0,0.009203690433536367,0.3137876209243999,0.34828466499462557,0.29535784664994624,0.033220619849516304,0.00014555714797563597,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,0.1,COMPLETE_TARGET,0.9149691939810894,0.7630329630956646,1.9015025976352562,2.0,0.015182730204227876,0.3861183267646005,0.32706691150125405,0.22547921891795056,0.04595127194553923,0.00020154066642780365,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,0.05,COMPLETE_TARGET,0.961455287023525,0.9231346291651737,2.4632636151916874,3.0,0.0016459154424937298,0.1824278932282336,0.3030835721963454,0.3794338946614117,0.1306767287710498,0.0027319957004657827,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,0.05,COMPLETE_TARGET,0.961455287023525,0.8446569329989251,2.363232264421354,2.0,0.004333124328197779,0.24671936581870296,0.3117050340379792,0.2644549444643497,0.1641996596202078,0.008587871730562522,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.1,COMPLETE_TARGET,0.905291128359987,0.7979218917950556,2.020064493013257,2.0,0.010502508061626658,0.2974404335363669,0.37575017914725906,0.29428296309566465,0.02184476890003583,0.00017914725904693657,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.1,COMPLETE_TARGET,0.905291128359987,0.829339842350412,2.054281619491222,2.0,0.011610981726979577,0.286803565030455,0.3795010748835543,0.28001836259405233,0.04190926191329273,0.00015675385166606952,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,0.05,COMPLETE_TARGET,0.9546581753371367,0.8675317986384808,2.4516078466499462,3.0,0.0024072912934432105,0.17820673593694017,0.289591544249373,0.4269862952346829,0.10078152991759226,0.00202660336796847,89312,99,D1_SLEEPEDF_TO_ISRUC_C4
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,0.05,COMPLETE_TARGET,0.9546581753371367,0.8996775349337155,2.576417502687209,3.0,0.003885256180580437,0.17256359727696166,0.2656977785739878,0.3640944106055177,0.18861967036904334,0.005139286993908993,89312,99,D1_SLEEPEDF_TO_ISRUC_C5
