experiment,condition,metric,replicate,authoritative_value,engine_value,absolute_error,tolerance,status
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,6,0.5382065775462305,0.5381823414182731,2.4236127957322218e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,6,0.17748621627669747,0.17748466903133928,1.547245358196614e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,7,0.7322049237908944,0.7322049237908944,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,7,0.5326897004420744,0.5326753470300183,1.435341205613394e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,7,0.17597005194749682,0.1759683357990689,1.71614842792156e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,8,0.7285260458203336,0.7285260458203336,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,8,0.5435481863159319,0.5435243898672119,2.3796448720081465e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,8,0.1880056092682614,0.18800355654304382,2.052725217582818e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,9,0.7311154798035998,0.7311154798035998,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,9,0.5310890695584011,0.5310553778263278,3.3691732073237723e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,9,0.1771914972717036,0.177189698250349,1.7990213546092981e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,0,0.7616577963255273,0.7616577963255273,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,0,0.8028476459242718,0.8028476459242718,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,0,0.49078120238896866,0.49058580993179524,0.00019539245717342668,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,0,0.07971270892815364,0.07970504965801432,7.659270139320773e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,1,0.7484134435755493,0.7484134435755493,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,1,0.8021706802938843,0.8021706802938843,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,1,0.49127599664820115,0.4912025399882766,7.345665992453121e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,1,0.08082247968365054,0.08081927950012913,3.2001835214151564e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,2,0.7112268671677943,0.7112268671677943,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,2,0.7851898990034871,0.7851898990034871,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,2,0.5194521370364305,0.5195643868860603,0.00011224984962987516,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,2,0.10501285816017154,0.10499733645812276,1.552170204878467e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,3,0.7215057333820893,0.7215057333820893,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,3,0.7851400751505994,0.7851400751505994,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,3,0.5193339731915918,0.5193192952206215,1.467797097032264e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,3,0.10536902345713266,0.10536084377170185,8.179685430806383e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,4,0.7479997793807162,0.7479997793807162,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,4,0.8140965225585601,0.8140965225585601,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,4,0.5094985675841986,0.5090584791106955,0.00044008847350318625,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,4,0.0783694186673549,0.0783634475821956,5.9710851593036685e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,5,0.7151754329411283,0.7151754329411283,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,5,0.8048759785169969,0.8048759785169969,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,5,0.5193636014632732,0.5191953259810065,0.00016827548226672207,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,5,0.0901460639273834,0.09013922667405488,6.837253328520476e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,6,0.7191550051963068,0.7191550051963068,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,6,0.8089523796378,0.8089523796378,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,6,0.5321076809856967,0.5319884774097035,0.00011920357599326525,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,6,0.09027451984449014,0.09026843060401613,6.0892404740164885e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,7,0.759016086189146,0.759016086189146,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,7,0.8098522997970244,0.8098522997970244,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,7,0.497256869015177,0.49685529807818013,0.00040157093699688673,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,7,0.07572770654085477,0.07572108519049764,6.621350357130518e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,8,0.7232194347391868,0.7232194347391868,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,8,0.781327905441667,0.781327905441667,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,8,0.5127407380136068,0.5128030756495985,6.233763599172715e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,8,0.1059340069104719,0.10592251291904557,1.149399142633123e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,9,0.7172437177030081,0.7172437177030081,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,9,0.8066113550066077,0.8066113550066077,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,9,0.5164758311080315,0.516348729628962,0.00012710147906946911,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,9,0.08638001403610408,0.08637606942870261,3.944607401468181e-06,1e-10,FAIL
