experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C1,42,Wake,N1,0.01072273713271544,435,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,Wake,N2,0.0033523959771248274,136,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,Wake,N3,0.0009859988168014198,40,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,Wake,REM,0.004363044764346282,177,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N1,Wake,0.19103972950126796,452,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N1,N1,0.28064243448858833,664,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N1,N2,0.3520710059171598,833,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N1,N3,0.00253592561284869,6,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N1,REM,0.17371090448013524,411,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N2,Wake,0.014943960149439602,144,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N2,N1,0.052718970527189705,508,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N2,N2,0.8584474885844748,8272,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N2,N3,0.020963055209630554,202,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N2,REM,0.05292652552926526,510,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N3,Wake,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N3,N1,0.0017064846416382253,3,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N3,N2,0.48236632536973834,848,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N3,N3,0.5159271899886234,907,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,N3,REM,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,REM,Wake,0.100669099756691,331,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,REM,N1,0.10097323600973236,332,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,REM,N2,0.23236009732360097,764,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,REM,N3,0.003953771289537713,13,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,REM,REM,0.5620437956204379,1848,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,Wake,Wake,0.9858755669493197,39995,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,Wake,N1,0.007173141392230329,291,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,Wake,N2,0.0017008479589824491,69,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,Wake,N3,0.001133898639321633,46,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,Wake,REM,0.004116545060145927,167,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N1,Wake,0.2797971259509721,662,DESCRIPTIVE_CONFUSION_MIGRATION
