model,experiment_id,seed,condition,metric,value,probability_variant
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,coverage_0.05,0.9896878359011108,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,gap_0.05,-0.0396878359011108,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,macro-F1,0.5778368884161587,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,NLL,0.9535219229227568,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,Brier,0.4936906752623003,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,ERROR_AUROC,0.7149657226575667,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,ERROR_AUPRC,0.5616791308441611,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,AURC,0.21851797205489634,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,coverage_0.1,0.9842126477964888,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,gap_0.1,-0.08421264779648874,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,coverage_0.05,0.9842126477964888,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C4,gap_0.05,-0.034212647796488804,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,macro-F1,0.4469747386348198,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,NLL,1.2523341968443606,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,Brier,0.6259395874658963,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,ERROR_AUROC,0.6672162225310602,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,ERROR_AUPRC,0.5918935834354574,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,AURC,0.3182691388678009,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,coverage_0.1,0.9824435686134002,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,gap_0.1,-0.08244356861340019,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,coverage_0.05,0.9824435686134002,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C5,gap_0.05,-0.03244356861340025,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,macro-F1,0.7436458977256233,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,NLL,0.22673538887456698,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,Brier,0.12192254156735371,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,ERROR_AUROC,0.9430326257245224,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,ERROR_AUPRC,0.5529402323249178,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,AURC,0.009273039109817562,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,coverage_0.1,0.9993231046931408,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,gap_0.1,-0.09932310469314076,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,coverage_0.05,0.9994098861427382,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C0,gap_0.05,-0.049409886142738224,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,macro-F1,0.6873538358118858,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,NLL,0.2782732010415464,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,Brier,0.145753379884141,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,ERROR_AUROC,0.9310925292040415,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,ERROR_AUPRC,0.5453583285694333,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,AURC,0.013346249983264379,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,coverage_0.1,0.9989759788947514,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,gap_0.1,-0.0989759788947514,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,coverage_0.05,0.9989759788947514,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C1,gap_0.05,-0.04897597889475147,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,macro-F1,0.6476940596609077,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,NLL,0.343712518598284,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,Brier,0.17747986321070622,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,ERROR_AUROC,0.9086017660928604,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,ERROR_AUPRC,0.5248415480277381,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,AURC,0.020615010593709474,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,coverage_0.1,0.997917245209664,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,gap_0.1,-0.09791724520966394,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,coverage_0.05,0.997917245209664,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C2,gap_0.05,-0.047917245209664006,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,macro-F1,0.572628285378036,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,NLL,0.9741954598554434,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,Brier,0.49011453329095955,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,ERROR_AUROC,0.7496597896834417,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,ERROR_AUPRC,0.5839512394709301,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,AURC,0.1851490960426766,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,coverage_0.1,0.9815142422070943,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,gap_0.1,-0.08151424220709425,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,coverage_0.05,0.9818053565030455,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C3,gap_0.05,-0.0318053565030455,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,macro-F1,0.48625502221832395,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,NLL,1.1839672734158908,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,Brier,0.5814496657745131,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,ERROR_AUROC,0.7184260401602234,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,ERROR_AUPRC,0.6211876994655641,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,AURC,0.2561630143559725,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,coverage_0.1,0.9615841096381226,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,gap_0.1,-0.06158410963812255,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,coverage_0.05,0.9616288964528843,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C4,gap_0.05,-0.01162889645288434,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,macro-F1,0.4930215294864464,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,NLL,1.1017246589785759,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,Brier,0.5632833180855366,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,ERROR_AUROC,0.6766461797505373,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,ERROR_AUPRC,0.5659760856350176,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,AURC,0.2764860899567047,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,coverage_0.1,0.9869670369043354,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,gap_0.1,-0.08696703690433538,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,coverage_0.05,0.9869782336080258,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,2026,C5,gap_0.05,-0.03697823360802588,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,macro-F1,0.7409248230030393,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,NLL,0.5984868240639065,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,Brier,0.3205568913731787,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,ERROR_AUROC,0.8130128790885008,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,ERROR_AUPRC,0.5138641760949353,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,AURC,0.07967624104615792,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,coverage_0.1,0.9592377308512987,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,gap_0.1,-0.05923773085129869,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,coverage_0.05,0.9830034581708483,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C0,gap_0.05,-0.033003458170848377,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,macro-F1,0.6752007375720196,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,NLL,0.7123446804697084,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,Brier,0.3828705575343826,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,ERROR_AUROC,0.7859340937883851,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,ERROR_AUPRC,0.5377603428100852,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,AURC,0.11504382151767899,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,coverage_0.1,0.9884482378044294,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,gap_0.1,-0.08844823780442934,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,coverage_0.05,0.994260907953793,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C1,gap_0.05,-0.044260907953793005,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,macro-F1,0.6331770537612524,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,NLL,0.8725035436789905,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,Brier,0.45222867093761643,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,ERROR_AUROC,0.7583962665438108,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,ERROR_AUPRC,0.5656050795423492,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,AURC,0.15744225342534163,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,coverage_0.1,0.9774851004341109,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,gap_0.1,-0.07748510043411083,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,coverage_0.05,0.9820469428298139,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C2,gap_0.05,-0.03204694282981391,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,macro-F1,0.4854596235221676,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,NLL,1.007069843575979,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,Brier,0.4461492654316122,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,ERROR_AUROC,0.7525801479984027,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,ERROR_AUPRC,0.5459248633649181,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,AURC,0.15784278689347742,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,coverage_0.1,0.8976072450182065,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,gap_0.1,0.002392754981793477,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,coverage_0.05,0.9256243357809529,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C3,gap_0.05,0.024375664219047022,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,macro-F1,0.4388687578153119,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,NLL,1.084227772876963,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,Brier,0.49648461193091,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,ERROR_AUROC,0.7082096048991009,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,ERROR_AUPRC,0.5492599642003811,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,AURC,0.2232896803336345,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,coverage_0.1,0.9239398401295543,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,gap_0.1,-0.023939840129554302,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,coverage_0.05,0.9422909622832025,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,gap_0.05,0.007709037716797429,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,macro-F1,0.34098835205871075,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,NLL,1.5204593338943717,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,Brier,0.7506575732399484,SOURCE_TEMPERATURE_SCALED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,ERROR_AUROC,0.6084574303590864,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,ERROR_AUPRC,0.6690986270463529,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,AURC,0.4780627961445188,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,coverage_0.1,0.8935586717787937,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,gap_0.1,0.006441328221206355,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,coverage_0.05,0.9174356144312357,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,gap_0.05,0.03256438556876429,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,42,C0,macro-F1,0.7411597120301762,UNCALIBRATED
B1,D2_ISRUC_TO_SLEEPEDF,42,C0,NLL,0.6091272244260978,SOURCE_TEMPERATURE_SCALED
