experiment_id,condition,seed,stage,recall,support,analysis_scope
D2_ISRUC_TO_SLEEPEDF,C1,2026,Wake,0.7430612805715856,3639,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,2026,N1,0.3029940119760479,1670,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,2026,N2,0.740347240217673,3859,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,2026,N3,0.8463532025175861,2701,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,2026,REM,0.48606271777003485,1722,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,17,Wake,0.2462214894201704,3639,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,17,N1,0.2508982035928144,1670,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,17,N2,0.7211712878984193,3859,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,17,N3,0.7993335801554979,2701,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,17,REM,0.4912891986062718,1722,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,Wake,0.25748832096729873,3639,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,N1,0.4808383233532934,1670,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,N2,0.5866804871728427,3859,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,N3,0.6693817104776009,2701,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,REM,0.5958188153310104,1722,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,Wake,0.2822203902170926,3639,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,N1,0.18083832335329342,1670,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,N2,0.6284011401917595,3859,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,N3,0.81673454276194,2701,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,REM,0.5435540069686411,1722,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,Wake,0.7961342942126524,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,N1,0.296487315305269,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,N2,0.5130185731643812,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,N3,0.9555947541989417,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,REM,0.6113024966131217,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,Wake,0.7523622005864774,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,N1,0.2872874268190689,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,N2,0.5306949025053521,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,N3,0.9619602730270727,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,REM,0.5745306754402941,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,Wake,0.7284651739637673,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,N1,0.2007713037821764,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,N2,0.4623907886362321,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,N3,0.9747680036812639,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,REM,0.5439132959163925,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,17,Wake,0.6154509114222952,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,17,N1,0.2126661090976675,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,17,N2,0.5744662385002604,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,17,N3,0.9599662550809112,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
