experiment_id,seed,condition,variant,metric,value,ci95_low,ci95_high,bootstrap_replicates,oracle_evaluation_subject_count,oracle_evaluation_epoch_count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,error_AUROC,0.7159063186893354,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,error_AUPRC,0.5249571723226746,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,AURC,0.1901748619521629,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,macro-F1,0.5892634171907247,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,NLL,1.133772075206821,1.0699447867485836,1.206610567386505,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,Brier,0.5764450168449464,0.5481193874116869,0.6079154604061277,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,ECE,0.12429129493324952,0.10345417608903627,0.1464810518771319,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,adaptive_ECE,0.12429129493324952,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,error_AUROC,0.6828265658044371,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,error_AUPRC,0.582404108421963,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,AURC,0.2812676497752306,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,UNCALIBRATED,macro-F1,0.49013735802166913,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,SOURCE_TEMPERATURE_SCALED,NLL,1.0675215606798933,1.016760491573787,1.1258830474207195,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,SOURCE_TEMPERATURE_SCALED,Brier,0.557350466582311,0.5327562035968666,0.5844375194776161,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,SOURCE_TEMPERATURE_SCALED,ECE,0.05493158860603261,0.03788804132833862,0.0766442365270079,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,SOURCE_TEMPERATURE_SCALED,adaptive_ECE,0.0549315886060326,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
