experiment_id,seed,condition,variant,alpha,qhat,empirical_coverage,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,analysis_scope
D1_SLEEPEDF_TO_ISRUC,2026,C5,ORACLE_CONDITION_APS,0.05,0.9995489891994348,0.9374635366023059,0.012536463397694098,0.012536463397694098,3.946909292957355,4.0,0.006417557994165856,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C3,SOURCE_APS,0.1,0.9988652814637266,0.9003444814318711,-0.0003444814318710465,0.0003444814318710465,2.4265833483351082,3.0,0.341787214826432,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C3,SOURCE_APS,0.05,0.9997317739802749,0.931735313771019,0.01826468622898092,0.01826468622898092,2.8615483662304455,3.0,0.23182471417805023,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C3,ORACLE_DOMAIN_APS,0.1,0.9998954686132643,0.946262117111482,-0.04626211711148198,0.04626211711148198,3.105483326671528,4.0,0.17271670445079773,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C3,ORACLE_DOMAIN_APS,0.05,0.9999803338080971,0.9629217151452832,-0.012921715145283286,0.012921715145283286,3.4498732222896877,4.0,0.09345241182770436,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C3,ORACLE_CONDITION_APS,0.1,0.9998954686132643,0.946262117111482,-0.04626211711148198,0.04626211711148198,3.105483326671528,4.0,0.17271670445079773,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C3,ORACLE_CONDITION_APS,0.05,0.9999803338080971,0.9629217151452832,-0.012921715145283286,0.012921715145283286,3.4498732222896877,4.0,0.09345241182770436,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C4,SOURCE_APS,0.1,0.9988652814637266,0.9258708911664465,-0.025870891166446475,0.025870891166446475,3.464561739676999,4.0,0.06993064603236111,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C4,SOURCE_APS,0.05,0.9997317739802749,0.9420300910175475,0.007969908982452423,0.007969908982452423,3.7601933245661945,4.0,0.03799364738404645,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C4,ORACLE_DOMAIN_APS,0.1,0.9998954686132643,0.9472232477672782,-0.047223247767278154,0.047223247767278154,3.858985351148322,4.0,0.026746893107015033,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C4,ORACLE_DOMAIN_APS,0.05,0.9999803338080971,0.9522852025544717,-0.0022852025544717325,0.0022852025544717325,3.935177076881299,4.0,0.014029456366193831,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C4,ORACLE_CONDITION_APS,0.1,0.9988330607412087,0.9253765954006085,-0.025376595400608437,0.025376595400608437,3.456500447002035,4.0,0.07084600856169086,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C4,ORACLE_CONDITION_APS,0.05,0.9999999999999999,1.0,-0.050000000000000044,0.050000000000000044,5.0,5.0,0.0,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C5,SOURCE_APS,0.1,0.9988652814637266,0.8964969076002551,0.0035030923997448893,0.0035030923997448893,3.3386017532243644,4.0,0.1382655100552574,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C5,SOURCE_APS,0.05,0.9997317739802749,0.946753361668889,0.0032466383311109404,0.0032466383311109404,3.65483204623191,4.0,0.04685435666795835,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C5,ORACLE_DOMAIN_APS,0.1,0.9998954686132643,0.9668181083117969,-0.06681810831179691,0.06681810831179691,3.7927863330271956,4.0,0.018017385785640404,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C5,ORACLE_DOMAIN_APS,0.05,0.9999803338080971,0.9764629781625013,-0.026462978162501316,0.026462978162501316,3.934136614806294,4.0,0.0018581859345393743,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C5,ORACLE_CONDITION_APS,0.1,0.9994016947416586,0.9197959351801281,-0.01979593518012812,0.01979593518012812,3.4920531276412023,4.0,0.09028220626779236,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,C5,ORACLE_CONDITION_APS,0.05,0.9998462021168002,0.960971992957811,-0.010971992957811039,0.010971992957811039,3.7437900280406056,4.0,0.027540207299100807,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C3,SOURCE_APS,0.1,0.9990182181892268,0.8936989494689371,0.006301050531062891,0.006301050531062891,2.5212013217834923,3.0,0.2952593374606013,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C3,SOURCE_APS,0.05,0.9998281182606624,0.93259880575702,0.017401194242979923,0.017401194242979923,3.014966177354541,3.0,0.17685414308336816,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C3,ORACLE_DOMAIN_APS,0.1,0.9999043306699129,0.9419568620152011,-0.0419568620152011,0.0419568620152011,3.1604874610589526,4.0,0.1452527773624744,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C3,ORACLE_DOMAIN_APS,0.05,0.999986697489,0.9614022133465959,-0.011402213346595969,0.011402213346595969,3.5355664110771072,4.0,0.06891154241637401,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C3,ORACLE_CONDITION_APS,0.1,0.9999043306699129,0.9419568620152011,-0.0419568620152011,0.0419568620152011,3.1604874610589526,4.0,0.1452527773624744,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C3,ORACLE_CONDITION_APS,0.05,0.999986697489,0.9614022133465959,-0.011402213346595969,0.011402213346595969,3.5355664110771072,4.0,0.06891154241637401,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C4,SOURCE_APS,0.1,0.9990182181892268,0.8857658075480794,0.014234192451920591,0.014234192451920591,3.459948312529177,4.0,0.07245399540488011,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C4,SOURCE_APS,0.05,0.9998281182606624,0.9213703587305753,0.028629641269424688,0.028629641269424688,3.788084420834872,4.0,0.0392354892155038,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C4,ORACLE_DOMAIN_APS,0.1,0.9999043306699129,0.9276802577660883,-0.02768025776608829,0.02768025776608829,3.8422067559857083,4.0,0.031842411186950595,ORACLE_TARGET_UPPER_BOUND
