direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count,analysis_scope,interpretation
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,Brier,UNCALIBRATED,0.5409598449108683,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.6872278936858398,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5632380906368486,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.2566576887015881,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.2633299715647685,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,NLL,UNCALIBRATED,1.844337344261651,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.8481654259881548,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6400706531077796,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.7576291155054045,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.5508435224646211,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.2598083345571126,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,NLL,UNCALIBRATED,1.6935809419266297,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,Brier,UNCALIBRATED,0.8779133124476013,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.49701277525479015,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.6776428410093076,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.6544788677482241,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.45280014042422456,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,NLL,UNCALIBRATED,2.0324638563230613,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,Brier,UNCALIBRATED,0.7009827163463328,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6913418516091685,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6410248131482019,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
