model,experiment,seed,condition,replicate,metric,optimized_value,literal_value,absolute_error,tolerance,pass_
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,coverage,0.999505187286612,0.999505187286612,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,mean_set_size,2.49080473040954,2.49080473040954,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,macro-F1,0.7840233140162585,0.7840233140162585,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,NLL,0.19431997650450475,0.19431997650450475,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,Brier,0.10392903270285,0.10392903270285,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,ECE,0.0037182672076433595,0.003718267207643271,8.847089727481716e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,ERROR_AUROC,0.9428331489695126,0.9428331489695126,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,ERROR_AUPRC,0.4900591626023349,0.4900591626023347,2.220446049250313e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,AURC,0.0071476851854924035,0.007147685185492402,1.734723475976807e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,coverage,0.9994262366339216,0.9994262366339216,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,17,mean_set_size,2.4570112144657914,2.4570112144657914,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,macro-F1,0.737637021485911,0.737637021485911,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,NLL,0.22909222754460032,0.2290922275446003,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,Brier,0.12438937032748086,0.12438937032748086,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,ECE,0.013687687134975752,0.013687687134975658,9.367506770274758e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,ERROR_AUROC,0.936413228399736,0.936413228399736,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,ERROR_AUPRC,0.5087922889273455,0.5087922889273464,8.881784197001252e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,AURC,0.01012100617937985,0.010121006179379827,2.2551405187698492e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,coverage,0.9992077843795746,0.9992077843795746,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,18,mean_set_size,2.4438301903039696,2.4438301903039696,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,macro-F1,0.7757444293717924,0.7757444293717924,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,NLL,0.20057473214661736,0.20057473214661736,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,Brier,0.10686241173491766,0.10686241173491766,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,ECE,0.006832536262420528,0.006832536262420536,7.806255641895632e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,ERROR_AUROC,0.9411455351957041,0.9411455351957041,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,ERROR_AUPRC,0.48824316451513694,0.48824316451513733,3.885780586188048e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,AURC,0.007526007292940681,0.007526007292940662,1.9081958235744878e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,coverage,0.9993369510216189,0.9993369510216189,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,19,mean_set_size,2.5809355970058103,2.5809355970058103,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,macro-F1,0.6074222387378629,0.6074222387378629,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,NLL,1.1300178326000097,1.1300178326000094,2.220446049250313e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,Brier,0.5086158614511643,0.5086158614511643,0.0,1e-12,True
