experiment,condition,metric,v1_1_point,v1_2_point,point_delta,v1_1_ci_low,v1_1_ci_high,v1_2_ci_low,v1_2_ci_high,ci_low_delta,ci_high_delta,repair_scope,expected_change,status
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.05,0.9934161806905489,0.9934161806905489,0.0,0.990716353845348,0.9961596184879689,0.990716353845348,0.9961596184879689,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.05,-0.04341618069054898,-0.04341618069054898,0.0,-0.04615961848796895,-0.04071635384534806,-0.04615961848796895,-0.04071635384534806,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,macro-F1,0.5948987191379381,0.5948987191379381,0.0,0.5749538132961965,0.6134144015764634,0.5749538132961965,0.6134144015764634,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,NLL,1.0942263503766367,1.0942263503766367,0.0,0.9997996451305915,1.2011055787340992,0.9997996451305915,1.2011055787340992,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,Brier,0.5021028736443046,0.5021028736443046,0.0,0.4728236722885787,0.5332047586133617,0.4728236722885787,0.5332047586133617,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,0.7266161580337651,0.7266161580337651,0.0,0.7130567496820996,0.7395639884872586,0.7130567496820996,0.7395639884872586,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,0.5406309176020543,0.5406309176020543,0.0,0.5242251348295881,0.5554073455069691,0.5241946028872774,0.5553722563359778,-3.0531942310729754e-05,-3.508917099137587e-05,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C3,AURC,0.1881268837040546,0.1881268837040546,0.0,0.16977649761382857,0.2082310722120998,0.1697747212630469,0.2082275811826696,-1.7763507816626056e-06,-3.49102943020263e-06,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.1,0.9798533978263465,0.9798533978263465,0.0,0.9734768340748642,0.9855091443486671,0.9734768340748642,0.9855091443486671,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.1,-0.07985339782634655,-0.07985339782634655,0.0,-0.08550914434866706,-0.07347683407486409,-0.08550914434866706,-0.07347683407486409,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.05,0.9798533978263465,0.9798533978263465,0.0,0.9734768340748642,0.9855091443486671,0.9734768340748642,0.9855091443486671,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.05,-0.029853397826346623,-0.029853397826346623,0.0,-0.03550914434866712,-0.02347683407486416,-0.03550914434866712,-0.02347683407486416,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,0.5063910424775941,0.5063910424775941,0.0,0.484223074629199,0.5276435508722074,0.484223074629199,0.5276435508722074,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C4,NLL,1.1172660930665559,1.1172660930665559,0.0,1.0463959117432453,1.1933407107196026,1.0463959117432453,1.1933407107196026,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C4,Brier,0.5597018757458727,0.5597018757458727,0.0,0.5301618410329589,0.590018401985323,0.5301618410329589,0.590018401985323,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
