experiment_id,condition,metric,point,bootstrap_mean,bootstrap_median,bootstrap_sd,bias,ci_low,ci_high,point_inside_CI,finite_replicates,undefined_replicates
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.1,-0.07985339782634655,-0.07987987063439306,-0.07999684361447515,0.0030900286822618393,-2.6472808046504315e-05,-0.08550914434866706,-0.07347683407486409,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.05,0.9798533978263465,0.979879870634393,0.9799968436144753,0.003090028682261842,2.647280804646268e-05,0.9734768340748642,0.9855091443486671,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.05,-0.029853397826346623,-0.029879870634393128,-0.029996843614475223,0.0030900286822618393,-2.6472808046504315e-05,-0.03550914434866712,-0.02347683407486416,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,0.5063910424775941,0.506284390139537,0.5064063664788194,0.010752401584240906,-0.00010665233805717822,0.484223074629199,0.5276435508722074,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,NLL,1.1172660930665559,1.1168539984394419,1.115801607495416,0.03684443347475763,-0.00041209462711400136,1.0463959117432453,1.1933407107196026,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,Brier,0.5597018757458727,0.5594431748627496,0.5590634532324978,0.01497020581579898,-0.00025870088312307526,0.5301618410329589,0.590018401985323,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,ERROR_AUROC,0.6980234745916304,0.6980018678482707,0.6983491198019336,0.006623949829416331,-2.1606743359714464e-05,0.6850199261420172,0.7107601769927555,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,ERROR_AUPRC,0.5808628331631477,0.5806931440809787,0.5806274222946183,0.010701072790385329,-0.00016968908216896672,0.5604983663674586,0.6014398220926507,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,AURC,0.25705495972924736,0.25698215337224983,0.25672424427493445,0.011215413431017134,-7.280635699752347e-05,0.23518658433328465,0.279424505914942,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,coverage_0.1,0.9785881703093277,0.9786079308860774,0.9786334151769667,0.002868193661453416,1.9760576749794367e-05,0.9727662928048509,0.983836303048126,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,gap_0.1,-0.07858817030932759,-0.07860793088607744,-0.07863341517696658,0.0028681936614534157,-1.976057674984988e-05,-0.083836303048126,-0.07276629280485092,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,coverage_0.05,0.9785881703093277,0.9786079308860774,0.9786334151769667,0.002868193661453416,1.9760576749794367e-05,0.9727662928048509,0.983836303048126,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C4,gap_0.05,-0.02858817030932766,-0.028607930886077507,-0.02863341517696664,0.0028681936614534157,-1.976057674984641e-05,-0.03383630304812607,-0.022766292804850985,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,macro-F1,0.28955462494661527,0.2892359840367654,0.28905678195403584,0.00840786335083499,-0.0003186409098498433,0.2734889027285077,0.3055705179939377,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,NLL,1.726679451639888,1.7263006377080723,1.7255021645126345,0.03864879949596751,-0.00037881393181571354,1.6517340866131027,1.8048782099434022,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,Brier,0.8529156084532056,0.8527171119973682,0.8526942890384637,0.013056087142148426,-0.0001984964558373603,0.8267370307866284,0.8777196797523581,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,ERROR_AUROC,0.5611643388104386,0.5610294089048806,0.5610068611650738,0.009078412104287835,-0.0001349299055579678,0.5435143159668918,0.5788208760052951,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,ERROR_AUPRC,0.6995712258811088,0.6994141962044221,0.6993151694496412,0.008066230567770914,-0.00015702967668662637,0.6835203893885821,0.7152562586128983,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,AURC,0.6026596616865945,0.6027393794971809,0.6026685935125039,0.015479484209619839,7.971781058646599e-05,0.5725135512492758,0.633119479628341,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,coverage_0.1,0.9381046219992834,0.9381290745936001,0.9382947487937727,0.005223373320467704,2.4452594316715093e-05,0.9276905239529379,0.948043243761166,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,gap_0.1,-0.03810462199928336,-0.038129074593600064,-0.03829474879377267,0.0052233733204677035,-2.4452594316701215e-05,-0.04804324376116604,-0.027690523952937963,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,coverage_0.05,0.9381046219992834,0.9381290745936001,0.9382947487937727,0.005223373320467704,2.4452594316715093e-05,0.9276905239529379,0.948043243761166,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C5,gap_0.05,0.011895378000716569,0.011870925406399868,0.011705251206227266,0.0052233733204677035,-2.4452594316701215e-05,0.0019567562388338954,0.02230947604706197,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,0.73072363068128,0.7294060398539052,0.7301104307978933,0.019681702808489732,-0.001317590827374815,0.6886516765666357,0.7653762990941065,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,NLL,0.6355828923983516,0.6344890419631604,0.6330593598413201,0.04841330561956169,-0.0010938504351912792,0.5494176886488263,0.7345463549834196,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,Brier,0.3386434619217485,0.3381664804543848,0.33775094019216945,0.02394488321164481,-0.00047698146736369074,0.29349665532011815,0.38736943579698824,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,0.8043380220575171,0.8048039450183669,0.8052079914157446,0.014005610694951763,0.0004659229608497961,0.7759898602474348,0.8311329351346906,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,0.5183170657843182,0.5185765060131092,0.5180281906361434,0.01556841377291115,0.00025944022879098583,0.48805581030077844,0.5483222508247313,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,AURC,0.0886485880922413,0.0888330391889494,0.08799688393362734,0.013292210469840783,0.000184451096708102,0.06516935635647406,0.11753315738071415,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,coverage_0.1,0.9656144997915287,0.9657227859532943,0.9663432947258199,0.008441839951831261,0.0001082861617656139,0.9479468864179013,0.9804724004602918,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.1,-0.06561449979152867,-0.06572278595329428,-0.06634329472581986,0.00844183995183126,-0.0001082861617656139,-0.0804724004602918,-0.047946886417901236,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,coverage_0.05,0.9837637652367989,0.9838270414026867,0.9841374091349553,0.004919099666524659,6.327616588786e-05,0.9734418412896874,0.9924125507580818,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.05,-0.033763765236798915,-0.03382704140268669,-0.03413740913495546,0.004919099666524658,-6.327616588777674e-05,-0.04241255075808184,-0.023441841289687473,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,macro-F1,0.6462870090953093,0.6463509345869687,0.6478867135213813,0.02435184894563182,6.392549165934458e-05,0.5927117330623836,0.6906755357836744,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,NLL,0.7961944341007207,0.7945533531768008,0.7907762912175675,0.060030241756736685,-0.001641080923919902,0.6861563274102458,0.922500695208321,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,Brier,0.41886278277123895,0.4182103688723463,0.41677209534048465,0.026129263161101004,-0.0006524138988926453,0.36957957475191633,0.47272563232107523,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,ERROR_AUROC,0.7814018490334104,0.7810880746170591,0.7812779822232041,0.014683677146815425,-0.0003137744163512757,0.7529303306712702,0.8096531255151906,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,ERROR_AUPRC,0.568172874190926,0.5658774101181282,0.5649297339899976,0.03264770107300516,-0.0022954640727977926,0.5090676759430636,0.6320378191130416,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,AURC,0.13441528842298545,0.1346950767735393,0.13341277780639677,0.016009519490781735,0.00027978835055386675,0.1063507036187902,0.16873642734624314,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,coverage_0.1,0.9852843793687,0.9854048252691407,0.9856685295354024,0.004284207173721697,0.00012044590044080206,0.9760878850970074,0.9927460065154312,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.1,-0.08528437936869988,-0.08540482526914074,-0.08566852953540241,0.004284207173721694,-0.00012044590044085757,-0.09274600651543125,-0.0760878850970073,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,coverage_0.05,0.9915139921026169,0.9916145413921208,0.9919063982564211,0.0028858219947284066,0.00010054928950387065,0.9849125374266315,0.9962898793658355,True,2000,0
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.05,-0.04151399210261697,-0.04161454139212083,-0.04190639825642113,0.002885821994728406,-0.00010054928950385678,-0.04628987936583541,-0.03491253742663152,True,2000,0
