experiment_id,condition,seed,alpha,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,orientation,analysis_scope
D2_ISRUC_TO_SLEEPEDF,C4,42,0.1,0.01731222934203458,0.01731222934203458,3.4698899414643787,4.0,0.07201399649605626,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,42,0.05,0.03147753644318374,0.03147753644318374,3.788613869737156,4.0,0.03966396842112873,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,0.1,0.0773009993710253,0.0773009993710253,3.229344444417668,4.0,0.13306551700039282,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,0.05,0.0900589452984738,0.0900589452984738,3.5304426199088588,4.0,0.07745547171902901,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,0.1,0.009166885562739702,0.009166885562739702,3.3152055253385257,4.0,0.14399666474680753,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,0.05,0.006169133966806517,0.006169133966806517,3.6393588795091585,4.0,0.05043365521097164,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,0.1,-0.014466660722332936,0.014466660722332936,3.276259696694388,4.0,0.15152026335004976,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,0.05,-0.014095421015469012,0.014095421015469012,3.6501406156241187,4.0,0.05073488833890414,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,0.1,-0.053296815845344514,0.053296815845344514,3.553632751029615,4.0,0.059921293808333796,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,0.05,-0.02914984781702379,0.02914984781702379,3.843821467559602,4.0,0.009121339113796235,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
