direction,condition,seed,model,coverage,risk
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6099964170548191,0.6618024963289281
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6199950734503762,0.6632654904014592
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6299937298459334,0.6641666370454626
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6400035829451809,0.6654478656403079
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6500022393407381,0.666925051246275
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6600008957362953,0.6683744444067452
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6699995521318524,0.6695466167549592
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6799982085274096,0.6707501811236251
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6899968649229666,0.6717241379310345
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.6999955213185238,0.6725742986020026
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.709994177714081,0.6737789973348473
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7199928341096381,0.6747636227917393
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7300026872088857,0.6753734777140403
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7400013436044428,0.6764158508722822
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.75,0.6771915681356742
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7599986563955572,0.678241525111599
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7699973127911143,0.6786825650719791
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7799959691866715,0.6793993942264904
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7899946255822285,0.6801547706786099
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.7999932819777857,0.6808212851124579
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8099919383733429,0.6814298747615493
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8200017914725904,0.6821645092577421
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8300004478681476,0.682566876660956
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8399991042637047,0.6832795713257445
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8499977606592619,0.6840677073042218
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8599964170548191,0.6848375169253202
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8699950734503762,0.6854738034259533
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8799937298459334,0.6861210779448813
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8899923862414905,0.6866783247575076
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.8999910426370477,0.6875590943020652
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.9100008957362953,0.6882889977114452
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.9199995521318524,0.6888775299086007
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.9299982085274096,0.6893330122802793
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.9399968649229666,0.689909830500399
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.9499955213185238,0.6902269995049855
