experiment_id,condition,true_class,predicted_class,b0_row_normalized,b1_row_normalized,b1_minus_b0
D1_SLEEPEDF_TO_ISRUC,C5,2,0,0.5373056688538157,0.2441922326653662,-0.29311343618844954
D1_SLEEPEDF_TO_ISRUC,C5,2,1,0.09761778093042502,0.03350475852692558,-0.06411302240349943
D1_SLEEPEDF_TO_ISRUC,C5,2,2,0.35234379618135603,0.6924632026955134,0.3401194065141574
D1_SLEEPEDF_TO_ISRUC,C5,2,3,0.0008866820358219542,0.020050836436720457,0.019164154400898505
D1_SLEEPEDF_TO_ISRUC,C5,2,4,0.01184607199858131,0.009788969675474374,-0.002057102323106935
D1_SLEEPEDF_TO_ISRUC,C5,3,0,0.6004899124329747,0.0666203757281179,-0.5338695367048568
D1_SLEEPEDF_TO_ISRUC,C5,3,1,0.07421980480654244,0.009663233422057632,-0.06455657138448481
D1_SLEEPEDF_TO_ISRUC,C5,3,2,0.2690082166415924,0.43600277745631294,0.16699456081472053
D1_SLEEPEDF_TO_ISRUC,C5,3,3,0.051730123828260616,0.48385603518111325,0.4321259113528526
D1_SLEEPEDF_TO_ISRUC,C5,3,4,0.004551942290629943,0.003857578212398257,-0.0006943640782316857
D1_SLEEPEDF_TO_ISRUC,C5,4,0,0.4677013422818792,0.4194351230425056,-0.04826621923937363
D1_SLEEPEDF_TO_ISRUC,C5,4,1,0.12245525727069351,0.05251677852348993,-0.06993847874720358
D1_SLEEPEDF_TO_ISRUC,C5,4,2,0.15629194630872484,0.28875838926174496,0.13246644295302012
D1_SLEEPEDF_TO_ISRUC,C5,4,3,2.7964205816554807e-05,0.00145413870246085,0.001426174496644295
D1_SLEEPEDF_TO_ISRUC,C5,4,4,0.2535234899328859,0.23783557046979867,-0.015687919463087258
D2_ISRUC_TO_SLEEPEDF,C0,0,0,0.8174406888339286,0.8357607401300724,0.01832005129614378
D2_ISRUC_TO_SLEEPEDF,C0,0,1,0.12237794265823944,0.10689749931299808,-0.01548044334524136
D2_ISRUC_TO_SLEEPEDF,C0,0,2,0.036090501053402946,0.030319684895117705,-0.005770816158285241
D2_ISRUC_TO_SLEEPEDF,C0,0,3,0.006686818723092424,0.0038472107721901623,-0.002839607950902262
D2_ISRUC_TO_SLEEPEDF,C0,0,4,0.017404048731336445,0.02317486488962169,0.005770816158285244
D2_ISRUC_TO_SLEEPEDF,C0,1,0,0.087624750499002,0.09441117764471059,0.006786427145708596
D2_ISRUC_TO_SLEEPEDF,C0,1,1,0.525748502994012,0.5261477045908184,0.0003992015968063978
D2_ISRUC_TO_SLEEPEDF,C0,1,2,0.3203592814371258,0.2878243512974052,-0.032534930139720586
D2_ISRUC_TO_SLEEPEDF,C0,1,3,0.013572854291417165,0.0055888223552894205,-0.007984031936127744
D2_ISRUC_TO_SLEEPEDF,C0,1,4,0.05269461077844312,0.08602794411177644,0.033333333333333326
D2_ISRUC_TO_SLEEPEDF,C0,2,0,0.007601278396821284,0.0069102530880193495,-0.0006910253088019342
D2_ISRUC_TO_SLEEPEDF,C0,2,1,0.08465060032823701,0.09259739137945927,0.007946791051222257
D2_ISRUC_TO_SLEEPEDF,C0,2,2,0.7685928997149521,0.7762805562753735,0.007687656560421363
D2_ISRUC_TO_SLEEPEDF,C0,2,3,0.1151420920791224,0.07402608620540728,-0.041116005873715125
D2_ISRUC_TO_SLEEPEDF,C0,2,4,0.02401312948086724,0.05018571305174052,0.026172583570873282
D2_ISRUC_TO_SLEEPEDF,C0,3,0,0.0006170554115759595,0.0002468221646303838,-0.00037023324694557573
D2_ISRUC_TO_SLEEPEDF,C0,3,1,0.0,0.0,0.0
D2_ISRUC_TO_SLEEPEDF,C0,3,2,0.13056892508947301,0.17931630260397383,0.04874737751450081
D2_ISRUC_TO_SLEEPEDF,C0,3,3,0.8684437862520054,0.8200666419844502,-0.04837714426755513
D2_ISRUC_TO_SLEEPEDF,C0,3,4,0.00037023324694557573,0.00037023324694557573,0.0
D2_ISRUC_TO_SLEEPEDF,C0,4,0,0.034456058846302755,0.04123112659698026,0.006775067750677502
D2_ISRUC_TO_SLEEPEDF,C0,4,1,0.14730933023615952,0.10220673635307781,-0.045102593883081715
D2_ISRUC_TO_SLEEPEDF,C0,4,2,0.16802168021680217,0.11343399148277196,-0.05458768873403021
D2_ISRUC_TO_SLEEPEDF,C0,4,3,0.007355787843592722,0.006581494386372435,-0.0007742934572202865
D2_ISRUC_TO_SLEEPEDF,C0,4,4,0.6428571428571429,0.7365466511807975,0.09368950832365464
